abacate :  apakati.             
abacateiro  :  mphera.           
abandonar  :  ohiya, ohiyererya. 
abater na caça  :  wiiva, ohoma. 
abater no trabalho :  wuuha, wiikittha.                              
abcesso :  nipotthe.
abdómen :  erukulu, niphu.  
abelha :  enuwi.                                 
abençoar :  oreeriha.  
abóbora :  marapo.  
aborrecer :  onyoonyiha.  
aborto espontâneo :  okurumuwa.
abrandar :  ovukula, ovukulela.   
abraçar :  okhupaarela.
abrigo :  mukhukuni.          
abrir :  otthukula; ohula. 
abster-se :  wisinanela.  
abundar :  opuhuwa.  
abutre :  nrepo.  
acabar :  omala.  
acalmar :  ommaaliha, okurunuxa.  
acalmar-se :  wimaaliha.  
acampamento :  muxaxa.  
acariciar :  wepesa.  
acarinhar :  omulema.  
aceitar :  otthuna.
acenar :  ottikinya.  
acender :  opattiha.  
acocorar-se :  wiikhoromiha, okhoroma.  
acompanhar :  ohoola.  
aconselhar :  ovaha miruku, olaka.
acordar :  ovenya.               
acordo :  mwiiwanano.            
acreditar :  weemererya, waamini.
acrescentar :  wuncererya.       
acumular :  osarihela, wukela.
acusar :  omootherya, wootherya.
adiantar :  ohooliha.  
adivinhar :  waaxerya.  
adivinho :  ehako.  
admirar :  otikhina, oxanka.     
admiração :  yotikiniha.  
adultério :  mararuwo.  
adulto :  muulweene.                                 
adversário :  nwanani.
afiar :  onona.  
afogar-se :  omireya. 
afundar :  opwina.
agarrar :  ovara.  
agora :  vano.
agradar :  osiveliha.  
agradecer :  oxukhuru.  
agricultor :  mulimi.  
água :  maasi.  
aguardente :  nttiyope.  
agudo :  othokolowa.  
águia :  xawawe.  
aguilhão :  npwino.  
agulha :  sikano.  
aí :  vo.
ainda :  nlelo.  
ajoelhar-se :  okokhora.  
ajuda :  mukhaliheryo.  
alargar :  wunnuwiha.  
albufeira :  nratta, mukhulaku.
aldeia :  muttetthe.  
alegre :  otteeliwa.
algo :  etthu.
algodão :  nxotte.  
alguém :  ookhala.
alguns :  akina, amosa amosa.  
alho :  alyu.  
ali :  vale.  
alimentar :  olyiha.  
alisar :  waapattha, osupiyari.
alma :  munepa.  
almoçar :  olya wa othana.
alongar :  orekamiha.  
alpendre :  epwaro.  
alterar :  ovirikaniha.  
alto :  orakama.  
amadurecer :  ottokottha. 
amaldiçoar :  otakhaliha. 
amamentar :  waamwiha.  
amanhã :  meelo.  
amanhecer :  oxa.  
amante :  amwaseeta.  
amar :  ophenta.  
amarelo :  yancano.  
amargo :  owaawa.  
amarrar :  otthuka.  
amassar :  oruwa.  
ameaçar :  woopopiha.
amêijoa :  ecasa.
amendoim :  mattuvi.  
amigo :  mpatthani.  
amontoar :  othukumanyerya.  
amuleto :  ehirisi.  
ananás :  enanasi.  
anão :  mukhuveya.        
anca :  eyuunu.           
andar :  weetta.             
anel :  epetthe.          
anemia :  ohikhalana ni ephome.
animal :  mwaamunama.  
ano :  eyaakha.  
anoitecer :  wiila.
ansioso :  ovaviwa murima.  
antena :  ipwetupwetu.
antepassado :  amuharoye.
antes :  vahinatthi.
antes-de-ontem :  nsuri.
antílope :  ekhuulu.
anunciar :  olaleya.  
ânus :  nthumu.  
anúncio :  yoolaleya.
anzol :  coolo.  
ao lado de :  mpantta wa.  
apagar :  ottipiha.  
apanhar :  ottotta.  
apanhar em armadilha :  oheya.
apascentar :  okukhula.       
apertar :  oliipiha.          
apitar :  woopa.            
aplanar :  opapatthela.       
aplicar :  wootta.  
apodrecer :  wuntta.          
apoiar-se :  wiikaliherya.    
apontar :  othoonya.          
aprender :  wiixutta.          
apressar-se :  wixaakuviha.   
aprofundar :  wixiha.         
apropriado :  yookhalela.     
aproximar-se :  waattamela.   
apunhalar :  ohoma.           
aquele :  ole.               
aqueles :  ale.
aqui :  va.               
ar :  epheyo.  
aranha :  rataasi.   
arbusto :  makukhu.  
arco :  muura.   
arco-íris :  ekhweyi.  
areia :  mihaava.  
argamassa :  alukamasa.  
argumento :  mutaphulelo.  
árido :  othuwa.  
arma de fogo :  kapwitthi.  
armadilha :  muraakho, ntapha.  
armadilha de peixe :  elema.  
armazenar :  osuka.  
arranjar :  olokiha.  
arrastar :  opurula.  
arrotar :  ekhanana.  
arroz :  musoro.   
arruinar :  opwetewa.  
arrumar :  othatela.  
árvore :  mwiri.  
às vezes :  imara ikina.  
asa :  nipupha.  
assaltar :  wiya, otuphela.
assar :  wooxa.        
assassinar :  wookottha.    
assim :  siisa.        
assoar-se :  omila.         
assobiar :  woopa muturi.   
assobio :  muturi.          
assustar :  otuthuwa.       
ata :  atha.         
atacar :  otuphela.        
atar :  otthuka.      
até :  mpakha.  
ateira :  mwiri wa atha.
atento :  wiwelela.        
aterrar :  omorela.
atirar :  oriha, ovokha.  
atrás :  ottuli.  
atrasar :  opisa, oxeleliwa.  
atravessar :  olapuwa.  
aumentar :  wuncerera.  
ave :  epalame.  
avestruz :  mpisa.  
avô :  ataata.
avó :  apiipi.  
azedo :  onyunya.  
azul :  yopipila.  
açoitar :  owaxula. 
bainha :  ephitelo. 
baixar :  wurama.  
balançar :  olelemeya.
baixo :  vathi. 
baixo de :  vathi va.
balde :  ipaalti.
bambú :  muthala.  
banana :  enika.      
bananeira :  munika.  
banco :  munyukhu.  
bando de pássaros :  nikoto.
banquete :  niira.  
barata :  niparatha.  
barato :  okhweya.  
barba :  ireru.  
barbatana :  maapanuwa.  
barbear :  omettha ireru.  
barco :  ekalawa.  
barriga :  erukulu.
barriga da perna :  katapala. 
barro :  oloko.         
bastante :  wattaxa.  
bastardo :  mwana omphwanya
batata :  patata.  
batata doce :  kharaka.       
bater :  omana.  
bater asas :  ovava.  
bater palmas :  woopa makuphi.
batuque :  ekoma, nlapa.
bebé :  ttutthu.
bêbado :  namuhapaliwa.         
beber :  owurya.              
bebida alcoólica :  niipha.     
bebida não alcoólica :  yowurya.
beijar :  ophootana.         
bem :  sana.              
bens :  mirerelo, muhakhu. 
benção :  nreeriho.  
beringela :  epirincela.  
bexiga :  ekhupula.  
bico :  munupi.            
bílis :  wamwe.             
bloco :  epuloku.  
boca :  eyano.             
bocejar :  waaramurya.  
bode :  maakhoro.
boi :  enyompe.  
bolha :  nipheru.  
bolor :  osukumana.  
bolso :  epoolosa.
bom :  oreera murima.
bondoso :  omutthu.  
bonito :  oreera.  
borboleta :  nikuruthu.  
borbulha :  ethuku.  
borda :  epiinya.  
bossa :  ecohocoho.  
branco :  otteela.  
braço :  moono.  
brilhar :  waarya.  
brilho :  mwaareryo.
brincar :  othwela.  
brinco :  epirinku.
brita :  maluku makhaani.
